"id","user_id","lobby_wait_id"
7120,3786,18318
7121,3804,18320
7122,3787,18325
7123,3773,18322
7124,3793,18327
7125,3794,18330
7126,3803,18332
7127,3783,18333
7128,3800,18336
7129,3802,18337
7130,3804,18339
7131,3807,18342
7132,3801,18347
7133,3809,18348
7134,3794,18349
7135,3796,18351
7136,3781,18352
7137,3786,18353
7138,3807,18356
7140,3793,18362
7141,3804,18363
7142,3799,18367
7143,3789,18369
7144,3807,18370
7145,3800,18371
7147,3806,18373
7148,3800,18377
7149,3837,18406
7150,3838,18408
7151,3841,18410
7152,3834,18411
7153,3851,18413
7154,3852,18415
7155,3844,18418
7156,3855,18420
7157,3859,18421
7158,3835,18424
7159,3849,18427
7160,3836,18428
7161,3838,18429
7162,3858,18431
7163,3852,18433
7164,3857,18436
7165,3853,18438
7166,3844,18439
7167,3848,18441
7168,3856,18444
7169,3860,18446
7170,3847,18447
7171,3839,18450
7172,3840,18451
7173,3841,18453
7174,3837,18456
7175,3846,18458
7176,3834,18459
7177,3832,18462
7178,3844,18464
7180,3848,18467
7181,3841,18469
7183,3839,18473
7184,3855,18475
7185,3849,18477
7186,3832,18480
7187,3854,18483
7188,3834,18482
7189,3858,18485
7190,3833,18488
7191,3845,18489
7192,3841,18490
7193,3840,18494
7194,3836,18495
7195,3837,18496
7196,3856,18500
7197,3859,18503
7198,3857,18504
7200,3839,18508
7201,3853,18509
7202,3856,18513
7203,3855,18512
7204,3845,18516
7205,3851,18518
7206,3833,18520
7208,3843,18524
7210,3835,18525
7213,3852,18527
7216,3840,18529
7219,3832,18530
7222,3846,18533
7225,3861,18535
7229,3844,18538
7231,3856,18537
7234,3857,18541
7238,3854,18543
7240,3852,18545
7244,3839,18546
7246,3835,18547
7250,3845,18550
7251,3851,18551
7252,3858,18554
7253,3855,18557
7254,3843,18560
7255,3836,18561
7256,3842,18563
7257,3835,18564
7258,3846,18568
7259,3859,18567
7260,3847,18570
7261,3837,18573
7262,3853,18576
7263,3860,18574
7264,3848,18577
7265,3854,18579
7266,3832,18581
7267,3842,18584
7268,3833,18587
7269,3849,18588
7270,3858,18589
7271,3834,18592
7272,3845,18593
7273,3853,18594
7274,3836,18601
7275,3854,18602
7276,3848,18604
7277,3850,18606
7278,3860,18607
7279,3842,18611
7280,3859,18614
7281,3857,18616
7282,3842,18617
7283,3833,18618
7284,3860,18624
7285,3843,18621
7286,3861,18629
7287,3850,18630
7288,3851,18631
7289,3840,18634
7290,3850,18638
7291,3849,18636
7292,3843,18640
7293,3846,18643
7294,3864,18645
7295,3847,18648
7296,3850,18649
